seq_length,n_hidden,n_layers,accuracy_train,accuracy_val,accuracy_test
5,4,1,0.928,0.828,0.806
5,4,2,0.942,0.828,0.806
5,4,3,0.913,0.828,0.774
5,5,1,0.942,0.828,0.742
5,5,2,0.928,0.828,0.774
5,5,3,0.92,0.862,0.839
5,6,1,0.971,0.828,0.774
5,6,2,0.957,0.828,0.774
5,6,3,0.899,0.862,0.71
6,4,1,0.796,0.724,0.839
6,4,2,0.891,0.69,0.871
6,4,3,0.869,0.828,0.903
6,5,1,0.934,0.586,0.839
6,5,2,0.927,0.759,0.839
6,5,3,0.876,0.655,0.839
6,6,1,0.942,0.793,0.903
6,6,2,0.891,0.69,0.903
6,6,3,0.883,0.69,0.839
7,4,1,0.934,0.862,0.6
7,4,2,0.781,0.828,0.667
7,4,3,0.898,0.862,0.733
7,5,1,0.942,0.828,0.7
7,5,2,0.898,0.897,0.667
7,5,3,0.818,0.897,0.8
7,6,1,0.964,0.828,0.8
7,6,2,0.891,0.897,0.7
7,6,3,0.781,0.828,0.667
