C,penalty,solver,accuracy_train,f1_train,accuracy_test,f1_test
0.1,l2,lbfgs,0.838,0.816,0.754,0.643
0.1,l2,newton-cg,0.838,0.816,0.754,0.643
0.1,l2,sag,0.838,0.816,0.754,0.643
0.1,l2,saga,0.838,0.816,0.754,0.643
0.1,elasticnet,saga,0.838,0.818,0.803,0.707
0.1,l1,saga,0.817,0.793,0.803,0.707
0.6,l2,lbfgs,0.838,0.816,0.754,0.643
0.6,l2,newton-cg,0.838,0.816,0.754,0.643
0.6,l2,sag,0.838,0.816,0.754,0.643
0.6,l2,saga,0.838,0.816,0.754,0.643
0.6,elasticnet,saga,0.831,0.807,0.787,0.673
0.6,l1,saga,0.824,0.8,0.738,0.629
1.1,l2,lbfgs,0.824,0.802,0.754,0.643
1.1,l2,newton-cg,0.824,0.802,0.754,0.643
1.1,l2,sag,0.824,0.802,0.754,0.643
1.1,l2,saga,0.824,0.802,0.754,0.643
1.1,elasticnet,saga,0.831,0.809,0.77,0.658
1.1,l1,saga,0.831,0.807,0.77,0.658
